initialization done...
Note: Outout Guide for data importation...
Date, Humidity, Temperature
11/28/2021 12:06:27 , 77.00 , 27.00
11/28/2021 12:06:29 , 77.00 , 27.00
11/28/2021 12:06:31 , 77.00 , 27.00
11/28/2021 12:06:33 , 77.00 , 27.00
11/28/2021 12:06:35 , 77.00 , 27.00
11/28/2021 12:06:37 , 77.00 , 27.00
11/28/2021 12:06:39 , 77.00 , 27.00
11/28/2021 12:06:42 , 77.00 , 27.00
11/28/2021 12:06:44 , 77.00 , 27.00
11/28/2021 12:06:46 , 77.00 , 27.00
11/28/2021 12:06:48 , 77.00 , 27.00
11/28/2021 12:06:50 , 77.00 , 27.00
11/28/2021 12:06:52 , 77.00 , 27.00
11/28/2021 12:06:54 , 77.00 , 27.00
11/28/2021 12:06:56 , 77.00 , 27.00
11/28/2021 12:06:58 , 77.00 , 27.00
11/28/2021 12:07:00 , 77.00 , 27.00
11/28/2021 12:07:02 , 77.00 , 27.00
11/28/2021 12:07:04 , 77.00 , 27.00
11/28/2021 12:07:06 , 77.00 , 27.00
11/28/2021 12:07:08 , 77.00 , 27.00
11/28/2021 12:07:10 , 77.00 , 27.00
11/28/2021 12:07:13 , 77.00 , 27.00
11/28/2021 12:07:15 , 77.00 , 27.00
11/28/2021 12:07:17 , 77.00 , 27.00
11/28/2021 12:07:19 , 77.00 , 27.00
11/28/2021 12:07:21 , 77.00 , 27.00
11/28/2021 12:07:23 , 77.00 , 27.00
11/28/2021 12:07:25 , 77.00 , 27.00
11/28/2021 12:07:27 , 77.00 , 27.00
11/28/2021 12:07:29 , 77.00 , 27.00
11/28/2021 12:07:31 , 77.00 , 27.00
11/28/2021 12:07:33 , 77.00 , 27.00
11/28/2021 12:07:35 , 77.00 , 27.00
11/28/2021 12:07:37 , 77.00 , 27.00
11/28/2021 12:07:39 , 77.00 , 27.00
11/28/2021 12:07:42 , 77.00 , 27.00
11/28/2021 12:07:44 , 77.00 , 27.00
11/28/2021 12:07:46 , 77.00 , 27.00
11/28/2021 12:07:48 , 77.00 , 27.00
11/28/2021 12:07:50 , 77.00 , 27.00
11/28/2021 12:07:52 , 77.00 , 27.00
11/28/2021 12:07:54 , 77.00 , 27.00
11/28/2021 12:07:56 , 77.00 , 27.00
11/28/2021 12:07:58 , 77.00 , 27.00
11/28/2021 12:08:00 , 77.00 , 27.00
11/28/2021 12:08:02 , 77.00 , 27.00
11/28/2021 12:08:04 , 77.00 , 27.00
11/28/2021 12:08:06 , 77.00 , 27.00
11/28/2021 12:08:08 , 77.00 , 27.00
11/28/2021 12:08:11 , 77.00 , 27.00
11/28/2021 12:08:13 , 77.00 , 27.00
11/28/2021 12:08:15 , 77.00 , 27.00
11/28/2021 12:08:17 , 77.00 , 27.00
11/28/2021 12:08:19 , 77.00 , 27.00
11/28/2021 12:08:21 , 77.00 , 27.00
11/28/2021 12:08:23 , 77.00 , 27.00
11/28/2021 12:08:25 , 77.00 , 27.00
11/28/2021 12:08:27 , 77.00 , 27.00
11/28/2021 12:08:29 , 77.00 , 27.00
11/28/2021 12:08:31 , 77.00 , 27.00
11/28/2021 12:08:33 , 77.00 , 27.00
11/28/2021 12:08:35 , 77.00 , 27.00
11/28/2021 12:08:37 , 77.00 , 27.00
11/28/2021 12:08:40 , 77.00 , 27.00
11/28/2021 12:08:42 , 77.00 , 27.00
11/28/2021 12:08:44 , 77.00 , 27.00
11/28/2021 12:08:46 , 77.00 , 27.00
11/28/2021 12:08:48 , 77.00 , 27.00
11/28/2021 12:08:50 , 77.00 , 27.00
11/28/2021 12:08:52 , 77.00 , 27.00
11/28/2021 12:08:54 , 77.00 , 27.00
11/28/2021 12:08:56 , 77.00 , 27.00
11/28/2021 12:08:58 , 77.00 , 27.00
11/28/2021 12:09:00 , 77.00 , 27.00
11/28/2021 12:09:02 , 77.00 , 27.00
11/28/2021 12:09:04 , 77.00 , 27.00
11/28/2021 12:09:06 , 77.00 , 27.00
11/28/2021 12:09:08 , 77.00 , 27.00
11/28/2021 12:09:11 , 77.00 , 27.00
11/28/2021 12:09:13 , 77.00 , 27.00
11/28/2021 12:09:15 , 77.00 , 27.00
11/28/2021 12:09:17 , 77.00 , 27.00
11/28/2021 12:09:19 , 77.00 , 27.00
11/28/2021 12:09:21 , 77.00 , 27.00
11/28/2021 12:09:23 , 77.00 , 27.00
11/28/2021 12:09:25 , 77.00 , 27.00
11/28/2021 12:09:27 , 77.00 , 27.00
11/28/2021 12:09:29 , 77.00 , 27.00
11/28/2021 12:09:31 , 77.00 , 27.00
11/28/2021 12:09:33 , 77.00 , 27.00
11/28/2021 12:09:35 , 77.00 , 27.00
11/28/2021 12:09:37 , 77.00 , 27.00
11/28/2021 12:09:40 , 77.00 , 27.00
11/28/2021 12:09:42 , 77.00 , 27.00
11/28/2021 12:09:44 , 77.00 , 27.00
11/28/2021 12:09:46 , 77.00 , 27.00
11/28/2021 12:09:48 , 77.00 , 27.00
11/28/2021 12:09:50 , 77.00 , 27.00
11/28/2021 12:09:52 , 77.00 , 27.00
11/28/2021 12:09:54 , 77.00 , 27.00
11/28/2021 12:09:56 , 77.00 , 27.00
11/28/2021 12:09:58 , 77.00 , 27.00
11/28/2021 12:10:00 , 77.00 , 27.00
11/28/2021 12:10:02 , 77.00 , 27.00
11/28/2021 12:10:04 , 77.00 , 27.00
11/28/2021 12:10:06 , 77.00 , 27.00
11/28/2021 12:10:09 , 77.00 , 27.00
11/28/2021 12:10:11 , 77.00 , 27.00
11/28/2021 12:10:13 , 77.00 , 27.00
11/28/2021 12:10:15 , 77.00 , 27.00
11/28/2021 12:10:17 , 77.00 , 27.00
11/28/2021 12:10:19 , 77.00 , 27.00
11/28/2021 12:10:21 , 77.00 , 27.00
11/28/2021 12:10:23 , 77.00 , 27.00
11/28/2021 12:10:25 , 77.00 , 27.00
11/28/2021 12:10:27 , 77.00 , 27.00
11/28/2021 12:10:29 , 77.00 , 27.00
11/28/2021 12:10:31 , 77.00 , 27.00
11/28/2021 12:10:33 , 77.00 , 27.00
11/28/2021 12:10:35 , 77.00 , 27.00
11/28/2021 12:10:38 , 77.00 , 27.00
11/28/2021 12:10:40 , 77.00 , 27.00
11/28/2021 12:10:42 , 77.00 , 27.00
11/28/2021 12:10:44 , 77.00 , 27.00
11/28/2021 12:10:46 , 77.00 , 27.00
11/28/2021 12:10:48 , 77.00 , 27.00
11/28/2021 12:10:50 , 77.00 , 27.00
11/28/2021 12:10:52 , 77.00 , 27.00
11/28/2021 12:10:54 , 77.00 , 27.00
11/28/2021 12:10:56 , 77.00 , 27.00
11/28/2021 12:10:58 , 77.00 , 27.00
11/28/2021 12:11:00 , 77.00 , 27.00
11/28/2021 12:11:02 , 77.00 , 27.00
11/28/2021 12:11:04 , 77.00 , 27.00
11/28/2021 12:11:07 , 77.00 , 27.00
11/28/2021 12:11:09 , 77.00 , 27.00
11/28/2021 12:11:11 , 77.00 , 27.00
11/28/2021 12:11:13 , 77.00 , 27.00
11/28/2021 12:11:15 , 77.00 , 27.00
11/28/2021 12:11:17 , 77.00 , 27.00
11/28/2021 12:11:19 , 77.00 , 27.00
11/28/2021 12:11:21 , 77.00 , 27.00
11/28/2021 12:11:23 , 77.00 , 27.00
11/28/2021 12:11:25 , 77.00 , 27.00
11/28/2021 12:11:27 , 77.00 , 27.00
11/28/2021 12:11:29 , 77.00 , 27.00
11/28/2021 12:11:31 , 77.00 , 27.00
11/28/2021 12:11:33 , 77.00 , 27.00
11/28/2021 12:11:35 , 77.00 , 27.00
11/28/2021 12:11:38 , 77.00 , 27.00
11/28/2021 12:11:40 , 77.00 , 27.00
11/28/2021 12:11:42 , 77.00 , 27.00
11/28/2021 12:11:44 , 77.00 , 27.00
11/28/2021 12:11:46 , 77.00 , 27.00
11/28/2021 12:11:48 , 77.00 , 27.00
11/28/2021 12:11:50 , 77.00 , 27.00
11/28/2021 12:11:52 , 77.00 , 27.00
11/28/2021 12:11:54 , 77.00 , 27.00
11/28/2021 12:11:56 , 77.00 , 27.00
11/28/2021 12:11:58 , 77.00 , 27.00
11/28/2021 12:12:00 , 77.00 , 27.00
11/28/2021 12:12:02 , 77.00 , 27.00
11/28/2021 12:12:04 , 77.00 , 27.00
11/28/2021 12:12:07 , 77.00 , 27.00
11/28/2021 12:12:09 , 77.00 , 27.00
11/28/2021 12:12:11 , 77.00 , 27.00
11/28/2021 12:12:13 , 77.00 , 27.00
11/28/2021 12:12:15 , 77.00 , 27.00
11/28/2021 12:12:17 , 77.00 , 27.00
11/28/2021 12:12:19 , 77.00 , 27.00
11/28/2021 12:12:21 , 77.00 , 27.00
11/28/2021 12:12:23 , 77.00 , 27.00
11/28/2021 12:12:25 , 77.00 , 27.00
11/28/2021 12:12:27 , 77.00 , 27.00
11/28/2021 12:12:29 , 77.00 , 27.00
11/28/2021 12:12:31 , 77.00 , 27.00
11/28/2021 12:12:33 , 77.00 , 27.00
11/28/2021 12:12:36 , 77.00 , 27.00
11/28/2021 12:12:38 , 77.00 , 27.00
11/28/2021 12:12:40 , 77.00 , 27.00
11/28/2021 12:12:42 , 77.00 , 27.00
11/28/2021 12:12:44 , 77.00 , 27.00
11/28/2021 12:12:46 , 77.00 , 27.00
11/28/2021 12:12:48 , 77.00 , 27.00
11/28/2021 12:12:50 , 77.00 , 27.00
11/28/2021 12:12:52 , 77.00 , 27.00
11/28/2021 12:12:54 , 77.00 , 27.00
11/28/2021 12:12:56 , 77.00 , 27.00
11/28/2021 12:12:58 , 77.00 , 27.00
11/28/2021 12:13:00 , 77.00 , 27.00
11/28/2021 12:13:02 , 77.00 , 27.00
11/28/2021 12:13:05 , 77.00 , 27.00
11/28/2021 12:13:07 , 77.00 , 27.00
11/28/2021 12:13:09 , 77.00 , 27.00
11/28/2021 12:13:11 , 77.00 , 27.00
11/28/2021 12:13:13 , 77.00 , 27.00
11/28/2021 12:13:15 , 77.00 , 27.00
11/28/2021 12:13:17 , 77.00 , 27.00
11/28/2021 12:13:19 , 77.00 , 27.00
11/28/2021 12:13:21 , 77.00 , 27.00
11/28/2021 12:13:23 , 77.00 , 27.00
11/28/2021 12:13:25 , 77.00 , 27.00
11/28/2021 12:13:27 , 77.00 , 27.00
11/28/2021 12:13:29 , 78.00 , 27.00
11/28/2021 12:13:31 , 78.00 , 27.00
11/28/2021 12:13:33 , 78.00 , 27.00
11/28/2021 12:13:36 , 77.00 , 27.00
11/28/2021 12:13:38 , 78.00 , 27.00
11/28/2021 12:13:40 , 78.00 , 27.00
11/28/2021 12:13:42 , 78.00 , 27.00
11/28/2021 12:13:44 , 78.00 , 27.00
11/28/2021 12:13:46 , 78.00 , 27.00
11/28/2021 12:13:48 , 78.00 , 27.00
11/28/2021 12:13:50 , 78.00 , 27.00
11/28/2021 12:13:52 , 78.00 , 27.00
11/28/2021 12:13:54 , 78.00 , 27.00
11/28/2021 12:13:56 , 78.00 , 27.00
11/28/2021 12:13:58 , 78.00 , 27.00
11/28/2021 12:14:00 , 78.00 , 27.00
11/28/2021 12:14:02 , 78.00 , 27.00
11/28/2021 12:14:05 , 78.00 , 27.00
11/28/2021 12:14:07 , 78.00 , 27.00
11/28/2021 12:14:09 , 78.00 , 27.00
11/28/2021 12:14:11 , 78.00 , 27.00
11/28/2021 12:14:13 , 78.00 , 27.00
11/28/2021 12:14:15 , 78.00 , 27.00
11/28/2021 12:14:17 , 78.00 , 27.00
11/28/2021 12:14:19 , 78.00 , 27.00
11/28/2021 12:14:21 , 78.00 , 27.00
11/28/2021 12:14:23 , 78.00 , 27.00
11/28/2021 12:14:25 , 78.00 , 27.00
11/28/2021 12:14:27 , 78.00 , 27.00
11/28/2021 12:14:29 , 78.00 , 27.00
11/28/2021 12:14:31 , 78.00 , 27.00
11/28/2021 12:14:34 , 78.00 , 27.00
11/28/2021 12:14:36 , 78.00 , 27.00
11/28/2021 12:14:38 , 78.00 , 27.00
11/28/2021 12:14:40 , 78.00 , 27.00
11/28/2021 12:14:42 , 78.00 , 27.00
11/28/2021 12:14:44 , 78.00 , 27.00
11/28/2021 12:14:46 , 78.00 , 27.00
11/28/2021 12:14:48 , 78.00 , 27.00
11/28/2021 12:14:50 , 78.00 , 27.00
11/28/2021 12:14:52 , 78.00 , 27.00
11/28/2021 12:14:54 , 78.00 , 27.00
11/28/2021 12:14:56 , 78.00 , 27.00
11/28/2021 12:14:58 , 78.00 , 27.00
11/28/2021 12:15:00 , 78.00 , 27.00
11/28/2021 12:15:03 , 78.00 , 27.00
11/28/2021 12:15:05 , 78.00 , 27.00
11/28/2021 12:15:07 , 78.00 , 27.00
11/28/2021 12:15:09 , 78.00 , 27.00
11/28/2021 12:15:11 , 78.00 , 27.00
11/28/2021 12:15:13 , 78.00 , 27.00
11/28/2021 12:15:15 , 78.00 , 27.00
11/28/2021 12:15:17 , 78.00 , 27.00
11/28/2021 12:15:19 , 78.00 , 27.00
11/28/2021 12:15:21 , 78.00 , 27.00
11/28/2021 12:15:23 , 78.00 , 27.00
11/28/2021 12:15:25 , 78.00 , 27.00
11/28/2021 12:15:27 , 78.00 , 27.00
11/28/2021 12:15:29 , 78.00 , 27.00
11/28/2021 12:15:31 , 78.00 , 27.00
11/28/2021 12:15:34 , 78.00 , 27.00
11/28/2021 12:15:36 , 78.00 , 27.00
11/28/2021 12:15:38 , 78.00 , 27.00
11/28/2021 12:15:40 , 78.00 , 27.00
11/28/2021 12:15:42 , 78.00 , 27.00
11/28/2021 12:15:44 , 78.00 , 27.00
11/28/2021 12:15:46 , 78.00 , 27.00
11/28/2021 12:15:48 , 78.00 , 27.00
11/28/2021 12:15:50 , 78.00 , 27.00
11/28/2021 12:15:52 , 78.00 , 27.00
11/28/2021 12:15:54 , 78.00 , 27.00
11/28/2021 12:15:56 , 78.00 , 27.00
11/28/2021 12:15:58 , 78.00 , 27.00
11/28/2021 12:16:00 , 78.00 , 27.00
11/28/2021 12:16:03 , 78.00 , 27.00
11/28/2021 12:16:05 , 78.00 , 27.00
11/28/2021 12:16:07 , 78.00 , 27.00
11/28/2021 12:16:09 , 78.00 , 27.00
11/28/2021 12:16:11 , 78.00 , 27.00
11/28/2021 12:16:13 , 78.00 , 27.00
11/28/2021 12:16:15 , 78.00 , 27.00
11/28/2021 12:16:17 , 78.00 , 27.00
11/28/2021 12:16:19 , 78.00 , 27.00
11/28/2021 12:16:21 , 78.00 , 27.00
11/28/2021 12:16:23 , 78.00 , 27.00
11/28/2021 12:16:25 , 78.00 , 27.00
11/28/2021 12:16:27 , 78.00 , 27.00
11/28/2021 12:16:29 , 78.00 , 27.00
11/28/2021 12:16:32 , 78.00 , 27.00
11/28/2021 12:16:34 , 78.00 , 27.00
11/28/2021 12:16:36 , 78.00 , 27.00
11/28/2021 12:16:38 , 78.00 , 27.00
11/28/2021 12:16:40 , 78.00 , 27.00
11/28/2021 12:16:42 , 78.00 , 27.00
11/28/2021 12:16:44 , 78.00 , 27.00
11/28/2021 12:16:46 , 78.00 , 27.00
11/28/2021 12:16:48 , 78.00 , 27.00
11/28/2021 12:16:50 , 78.00 , 27.00
11/28/2021 12:16:52 , 78.00 , 27.00
11/28/2021 12:16:54 , 78.00 , 27.00
11/28/2021 12:16:56 , 78.00 , 27.00
11/28/2021 12:16:58 , 78.00 , 27.00
11/28/2021 12:17:01 , 78.00 , 27.00
